Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2019-11-18,56.1126431235,59.1996951546,59.269145586,53.905597301
LTC,2019-11-19,55.0245149269,56.1164789511,56.1242506979,54.1985255862
LTC,2019-11-20,54.918446204,55.0751756814,56.0567513427,54.5841831636
LTC,2019-11-21,50.5926289224,54.9178467509,55.1956996504,48.3130868388
LTC,2019-11-22,47.3796348646,50.605662831,51.5068544918,43.7462288038
LTC,2019-11-23,47.9684458359,47.382798635,48.5747721085,46.3120115271
LTC,2019-11-24,45.2306260473,47.9710319317,48.3094208429,43.6178789883
LTC,2019-11-25,46.1879881059,43.9554157542,47.4447254289,42.2855752273
LTC,2019-11-26,47.1344539322,46.1889671844,47.5702571197,45.3484333545
LTC,2019-11-27,47.6807703964,47.1404935443,48.7452091531,44.6392070556
LTC,2019-11-28,46.8070528262,47.6801756279,48.0173289596,46.751165101
LTC,2019-11-29,48.6718643584,46.8076488591,49.3214644672,46.3037817332
LTC,2019-11-30,47.3182611547,48.6018680155,48.7977959059,46.7703966802
LTC,2019-12-01,47.829205693,47.3185715753,48.4234357512,45.579394245
LTC,2019-12-02,45.8123975614,47.8289848213,48.004345179,44.7658694343
LTC,2019-12-03,45.0363058605,45.5697933124,46.2464307495,44.4208194048
LTC,2019-12-04,44.7508490862,45.0366305463,47.038895748,43.7842655277
LTC,2019-12-05,44.8099228942,44.7563428762,45.2432908738,43.7551550061
LTC,2019-12-06,45.3397523612,44.8030369195,45.5469837769,44.1035312788
LTC,2019-12-07,45.2470273384,45.3564039431,46.5488578087,45.0404443993
LTC,2019-12-08,45.6896536729,45.2469887901,46.2643455634,44.9018733659
LTC,2019-12-09,44.4232462104,45.6894905899,45.9047663352,44.102794128
LTC,2019-12-10,44.0064983886,44.4233003248,44.6045024126,43.5972254506
LTC,2019-12-11,43.5407179501,44.0071767521,44.3905635502,43.2840300107
LTC,2019-12-12,43.6240485292,43.6569747881,44.0716325264,42.869949851
LTC,2019-12-13,44.2413710531,43.6201780266,44.5127412695,43.4249379533
LTC,2019-12-14,43.4377918709,44.2420000618,44.6344852699,43.2154586821
LTC,2019-12-15,43.5438795419,43.437783548,43.9778425905,42.9364581594
LTC,2019-12-16,40.0913595458,43.5433565539,43.5666398766,39.0385650442
LTC,2019-12-17,36.7887657204,40.0925806897,40.1068112225,36.4546457561
LTC,2019-12-18,41.4450075092,36.7893293636,41.5225534754,35.9007139117
LTC,2019-12-19,39.5415117072,40.8339997714,41.0624292159,39.1085882572
LTC,2019-12-20,40.1036154591,39.5361151037,40.2675132921,39.2741827489
LTC,2019-12-21,40.2853779865,40.104053636,40.5541600132,39.6223888596
LTC,2019-12-22,41.1253302116,40.2853567525,41.755892124,39.6823582219
LTC,2019-12-23,40.0582417856,41.1252862248,41.870162798,39.7035416349
LTC,2019-12-24,40.4985685183,40.0585490936,40.7453464158,39.0572578791
LTC,2019-12-25,40.3005373626,40.4980444801,40.5479912385,39.3990391839
LTC,2019-12-26,39.9874704871,40.2999422664,41.6567130969,39.5511276694
LTC,2019-12-27,40.8224193501,39.9873404403,41.2923448607,39.5485253672
LTC,2019-12-28,43.103837837,40.8225698036,43.6449843266,40.7839593936
LTC,2019-12-29,43.1101216265,43.1037413023,43.6873734833,42.0848383375
